Heat and Power Generation," 138,249 "," 3,095,668 "," 5,304,732 "," 8,538,650 "," 1,318,812 "," 9,857,462 ",,,,Heat and Power Generation," 162,913 "," 460,632 "," 259,377 "," 324,245 "," 430,337 "," 200,727 "," 6,514 "," 204,774 "," 435,988 "," 354,284 "," 330,703 "," 241,477 "," 206,682 "," 185,634 "," 265,307 "," 301,289 "," 286,418 "," 308,221 "," 250,631 "," 189,788 "," 183,742 "," 187,937 "," 294,187 "," 282,338 "," 228,231 "," 232,495 "," 306,665 "," 250,383 "," 221,238 "," 219,432 "," 148,877 "," 254,613 "," 321,291 "," 1,320,091 "," 9,857,462 "
Accidental Fires,,,,,,,,,,Accidental Fires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accidental Fires,,,,,,,,,,Accidental Fires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture, 0 , 205 ," 3,052 "," 3,258 "," 4,207 "," 7,464 ",,,,Agriculture, 54 , 205 , 106 , 41 , 562 , 11 , -   , 12 , 161 , 93 , 236 , 68 , 13 , 8 , 23 , 87 , 474 , 346 , 119 , 1 , 2 , 71 , 10 , 24 , 58 , 15 , 136 , 165 , 19 , 75 , 4 , 33 , 23 ," 4,209 "," 7,464 "
Agriculture, 0 , 205 ," 3,052 "," 3,258 "," 4,207 "," 7,464 ",,,,Agriculture, 54 , 205 , 106 , 41 , 562 , 11 , -   , 12 , 161 , 93 , 236 , 68 , 13 , 8 , 23 , 87 , 474 , 346 , 119 , 1 , 2 , 71 , 10 , 24 , 58 , 15 , 136 , 165 , 19 , 75 , 4 , 33 , 23 ," 4,209 "," 7,464 "
Forestry, -   , -   , -   , -   , -   , -   ,,,,Forestry, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Forestry, -   , -   , -   , -   , -   , -   ,,,,Forestry, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Resuspension,,,,,,,,,,Resuspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resuspension,,,,,,,,,,Resuspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resuspension,,,,,,,,,,Resuspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transport," 201,110 "," 2,253,259 "," 5,160,335 "," 7,614,705 "," 3,319,566 "," 10,934,271 ",,,,Transport," 144,188 "," 395,413 "," 221,998 "," 212,327 "," 267,691 "," 149,559 "," 43,240 "," 225,653 "," 242,570 "," 279,604 "," 406,746 "," 244,063 "," 116,050 "," 122,658 "," 131,920 "," 148,389 "," 411,195 "," 1,207,952 "," 409,398 "," 92,947 "," 115,821 "," 142,869 "," 157,786 "," 146,834 "," 138,217 "," 229,551 "," 243,943 "," 181,575 "," 152,158 "," 109,730 "," 179,440 "," 169,136 "," 173,049 "," 3,320,602 "," 10,934,271 "
Aviation, 541 ," 78,415 "," 949,242 "," 1,028,198 "," 38,039 "," 1,066,237 ",,,,Aviation, -   , 120 ," 5,781 ", 194 ," 2,479 ", -   , 311 , -   , 95 , -   , 272 ," 4,832 ", -   ," 9,275 ", -   , 190 ," 1,144 "," 794,650 "," 114,952 ", -   , -   , -   , -   , -   , -   ," 37,119 ", 500 ," 41,492 "," 1,122 ", 22 ," 8,142 ", 402 ," 5,098 "," 38,045 "," 1,066,237 "
Aviation, 541 ," 78,415 "," 949,242 "," 1,028,198 "," 38,039 "," 1,066,237 ",,,,Aviation, -   , 120 ," 5,781 ", 194 ," 2,479 ", -   , 311 , -   , 95 , -   , 272 ," 4,832 ", -   ," 9,275 ", -   , 190 ," 1,144 "," 794,650 "," 114,952 ", -   , -   , -   , -   , -   , -   ," 37,119 ", 500 ," 41,492 "," 1,122 ", 22 ," 8,142 ", 402 ," 5,098 "," 38,045 "," 1,066,237 "
Rail, 354 ," 47,807 "," 53,661 "," 101,823 "," 27,361 "," 129,184 ",,,,Rail," 2,445 "," 11,828 "," 1,333 "," 15,846 "," 1,523 "," 14,136 ", 4 ," 2,097 "," 3,671 "," 6,323 "," 1,417 ", 799 ," 1,105 "," 2,201 "," 3,549 "," 5,777 "," 1,986 "," 8,344 ", 583 ," 2,708 ", 569 , 635 ," 1,597 "," 2,696 ", 780 ," 1,943 ", 753 , 292 ," 1,330 ", 40 , 25 ," 1,022 "," 2,466 "," 27,361 "," 129,184 "
Freight, 33 ," 19,496 "," 19,069 "," 38,597 "," 6,944 "," 45,541 ",,,,Freight," 2,445 ", 867 ," 1,333 "," 4,014 "," 1,146 "," 3,011 ", 4 , 50 , 893 ," 3,516 ", 770 , 799 ," 1,105 "," 1,431 "," 1,220 "," 1,525 "," 1,986 "," 1,606 ", 578 ," 1,378 ", 243 , 68 ," 1,133 "," 1,308 ", 152 ," 1,943 ", 753 , 285 , 641 , 40 , 25 ," 1,022 "," 1,304 "," 6,944 "," 45,541 "
Passengers, 322 ," 28,312 "," 34,593 "," 63,226 "," 20,416 "," 83,642 ",,,,Passengers, -   ," 10,960 ", -   ," 11,832 ", 377 ," 11,125 ", -   ," 2,047 "," 2,778 "," 2,807 ", 646 , -   , -   , 770 ," 2,329 "," 4,251 ", -   ," 6,738 ", 5 ," 1,330 ", 327 , 566 , 464 ," 1,387 ", 628 , -   , -   , 6 , 689 , -   , -   , -   ," 1,162 "," 20,416 "," 83,642 "
River," 12,894 "," 20,750 "," 11,855 "," 45,500 "," 23,816 "," 69,316 ",,,,River," 5,014 ", -   ," 2,763 ", 25 , -   , 19 ," 5,220 "," 4,309 ", -   , 83 , 96 ," 4,173 ", 48 , 39 , 40 , -   ," 1,285 ", 85 , 36 , 16 , 32 , 52 , 27 , 717 , -   ," 5,274 ", -   , 223 ," 4,886 ", -   ," 10,975 ", 26 , 26 ," 23,826 "," 69,316 "
Commercial Shipping," 2,447 "," 9,824 "," 10,898 "," 23,168 "," 23,143 "," 46,312 ",,,,Commercial Shipping," 4,980 ", -   ," 2,724 ", -   , -   , -   , 443 ," 1,143 ", -   , -   , -   ," 3,195 ", -   , 5 , -   , -   ," 1,259 ", -   , -   , -   , 10 , -   , 5 , 229 , -   ," 4,080 ", -   , -   ," 1,654 ", -   ," 3,435 ", -   , 7 ," 23,143 "," 46,312 "
Passenger Shipping," 10,421 "," 10,444 ", 317 ," 21,182 ", 11 ," 21,193 ",,,,Passenger Shipping, 16 , -   , 10 , -   , -   , -   ," 4,771 "," 3,112 ", -   , -   , -   , 937 , -   , 2 , -   , -   , 7 , -   , -   , -   , 6 , -   , 15 , 485 , -   ," 1,150 ", -   , -   ," 3,211 ", -   ," 7,459 ", -   , 1 , 11 ," 21,193 "
Small Private Vessels, 27 , 482 , 640 ," 1,149 ", 662 ," 1,811 ",,,,Small Private Vessels, 17 , -   , 29 , 25 , -   , 19 , 5 , 55 , -   , 83 , 96 , 41 , 48 , 32 , 40 , -   , 19 , 85 , 36 , 16 , 17 , 52 , 7 , 3 , -   , 44 , -   , 223 , 21 , -   , 81 , 26 , 18 , 672 ," 1,811 "
Road Transport," 187,320 "," 2,106,287 "," 4,145,576 "," 6,439,184 "," 3,230,351 "," 9,669,534 ",,,,Road Transport," 136,729 "," 383,466 "," 212,121 "," 196,262 "," 263,689 "," 135,404 "," 37,706 "," 219,247 "," 238,804 "," 273,199 "," 404,961 "," 234,258 "," 114,896 "," 111,143 "," 128,331 "," 142,422 "," 406,780 "," 404,873 "," 293,827 "," 90,223 "," 115,219 "," 142,182 "," 156,162 "," 143,421 "," 137,437 "," 185,214 "," 242,689 "," 139,568 "," 144,819 "," 109,669 "," 160,297 "," 167,686 "," 165,459 "," 3,231,370 "," 9,669,534 "
Car - Diesel," 14,599 "," 382,160 "," 928,699 "," 1,325,459 "," 684,409 "," 2,009,868 ",,,,Car - Diesel," 27,344 "," 84,732 "," 47,655 "," 41,291 "," 66,534 "," 20,299 "," 2,448 "," 24,310 "," 56,947 "," 58,376 "," 83,738 "," 48,099 "," 18,992 "," 20,983 "," 26,172 "," 36,585 "," 81,229 "," 91,430 "," 64,320 "," 13,035 "," 18,340 "," 35,292 "," 25,930 "," 28,593 "," 31,039 "," 35,229 "," 55,587 "," 33,445 "," 23,512 "," 27,848 "," 26,916 "," 36,119 "," 32,839 "," 684,659 "," 2,009,868 "
Car - Electric, -   , -   , -   , -   , -   , -   ,,,,Car - Electric, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Car - Petrol," 18,638 "," 561,392 "," 1,375,817 "," 1,955,848 "," 818,645 "," 2,774,493 ",,,,Car - Petrol," 41,660 "," 128,499 "," 72,515 "," 61,769 "," 99,523 "," 30,035 "," 3,202 "," 35,048 "," 85,607 "," 89,207 "," 112,588 "," 71,855 "," 27,972 "," 30,928 "," 37,504 "," 55,190 "," 108,444 "," 133,462 "," 98,509 "," 18,885 "," 27,389 "," 53,879 "," 38,129 "," 42,203 "," 47,271 "," 51,718 "," 84,701 "," 50,037 "," 33,919 "," 41,691 "," 39,370 "," 53,413 "," 49,336 "," 819,034 "," 2,774,493 "
HGV - Articulated," 2,076 "," 79,780 "," 325,616 "," 407,471 "," 756,540 "," 1,164,012 ",,,,HGV - Articulated," 10,437 "," 21,045 "," 12,489 "," 10,267 "," 9,152 "," 3,297 ", 506 ," 4,195 "," 9,789 "," 14,170 "," 70,680 "," 10,882 "," 3,703 "," 3,629 "," 3,442 "," 4,887 "," 78,557 "," 34,038 "," 15,863 "," 2,481 "," 3,129 "," 5,247 "," 5,686 "," 5,839 "," 6,202 "," 10,489 "," 13,211 "," 5,296 "," 3,885 "," 2,768 "," 7,575 "," 7,059 "," 7,491 "," 756,628 "," 1,164,012 "
HGV - Rigid," 18,286 "," 225,595 "," 360,915 "," 604,796 "," 278,261 "," 883,057 ",,,,HGV - Rigid," 17,018 "," 35,782 "," 20,640 "," 20,485 "," 17,400 "," 13,318 "," 4,219 "," 16,940 "," 18,051 "," 28,094 "," 34,974 "," 24,674 "," 12,099 "," 11,425 "," 12,058 "," 8,645 "," 40,842 "," 37,355 "," 26,412 "," 8,531 "," 9,975 "," 9,086 "," 15,300 "," 14,790 "," 12,007 "," 25,516 "," 22,663 "," 10,307 "," 13,376 "," 6,986 "," 23,148 "," 16,376 "," 16,245 "," 278,318 "," 883,057 "
LGV - Diesel," 26,307 "," 313,958 "," 568,290 "," 908,555 "," 519,649 "," 1,428,203 ",,,,LGV - Diesel," 18,677 "," 57,290 "," 30,026 "," 26,946 "," 35,665 "," 20,699 "," 5,353 "," 29,075 "," 32,343 "," 40,103 "," 60,421 "," 34,583 "," 18,162 "," 15,058 "," 18,395 "," 17,121 "," 58,591 "," 52,499 "," 37,601 "," 14,868 "," 16,628 "," 19,524 "," 23,013 "," 19,829 "," 18,362 "," 25,779 "," 33,137 "," 17,326 "," 23,339 "," 13,132 "," 25,696 "," 24,628 "," 24,531 "," 519,802 "," 1,428,203 "
LGV - Electric, -   , -   , -   , -   , -   , -   ,,,,LGV - Electric, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
